Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,DEV NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRM 2, 22",077/12b/14,Unknown,,Yes,Seller,,mni-din-tu4-d60,0,Male,,,,,,,,,,,5,"o 1, o 13, o 16",,,,itinnu,mni-din-tu4-d60,,Nidintu-Anu,Seller,r.e. i 1,Yes,"AUWE 19, 0577",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of seller,,md60-DUMU-MUnu,1,Male,,,,,,,,,,,6,"o 1, o 14, r 1",,,,,md60-DUMU-MUnu,,Anu-mar-ittannu,Father:5,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Grandfather of seller,,mki-na-a,2,Male,,,,,,,,,,,7,o 1,,,,,mki-na-a,,Kina,Grandfather:5 | Father:6,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Buyer,,mri-hat-d60,3,Male,,,,,,,,,,,8,"o 10, o 14, r 2, r 6",,,,itinnu,mri-hat-d60,,Rihat-Anu,Buyer,,No,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of buyer,,mla-ba-Å¡i,4,Male,,,,,,,,,,,9,"o 10, o 14, r 2, r 6",,,,,mla-ba-Å¡i,,LabaÅ¡i,Father:8,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Grandfather of buyer,,md60-DUMU-MU<nu>,5,Male,,,,,,,,,,,10,o 11,,,,,md60-DUMU-MUnu,,Anu-mar-ittannu,Grandfather:8 | Father:9,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Buyer,,mni-din-tu4-LUGAL,6,Male,,,,,,,,,,,11,"o 11, o 15, r 3, r 7",,,,,mni-din-tu4-LUGAL,"Nidintu-Å¡arri not identified as an itinnu until line r 7, the final clause of the body",Nidintu-Å¡arri,Buyer,,No,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of buyer,,md60-Å EÅ -MEÅ -MU,7,Male,,,,,,,,,,,12,"o 11, o 15, r 3, r 7",,,,,md60-Å EÅ -MEÅ -MU,,Anu-ahhe-iddin,Father:11,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Grandfather of buyer,,mba-la-á__u,8,Male,,,,,,,,,,,13,o 12,,,,,mba-la-á__u,,Balaá__u,Grandfather:11 | Father:12,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 1,,md60-DIN-su-E,9,Male,,,,,,,,,,,14,r 8,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,md60-DIN-su-E,,Anu-balassu-iqbi,Witness_1,,No,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 1,,mina-qi2-bit-d60,10,Male,,,,,,,,,,,15,r 8,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,mina-qi2-bit-d60,,Ina-qibit-Anu,Father:14,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 2,,md60-EN-Å¡u2-nu,11,Male,,,,,,,,,,,16,r 9,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,md60-EN-Å¡u2-nu,,Anu-belÅ¡unu,Witness_2,t.e. iii,Yes,"AUWE 19, 0725",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 2,,md60-Å EÅ -MEÅ -MU,12,Male,,,,,,,,,,,17,r 9,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,md60-Å EÅ -MEÅ -MU,,Anu-ahhe-iddin,Father:16,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 3,,mri-hat-d60,13,Male,,,,,,,,,,,18,r 9,LuÅ¡tammar-Adad,mlu-uÅ¡-tam-mar-dIÅ KUR,,,mri-hat-d[60],,Rihat-Anu,Witness_3,b.e. iii,Yes,"AUWE 19, 0467",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 3,,md60-DINiá__,14,Male,,,,,,,,,,,19,r 10,LuÅ¡tammar-Adad,mlu-uÅ¡-tam-mar-dIÅ KUR,,,md60-DINiá__,,Anu-uballiá__,Father:18,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 4,,md60-Å EÅ -MUnu,15,Male,,,,,,,,,,,20,r 10,Ekur-zakir,mE2.KUR-za-kir,,,md60-Å EÅ -MUnu,,Anu-ah-ittannu,Witness_4,t.e. ii,Yes,"AUWE 19, 0945",,,,,,,,"BiMes 24, 01"
