Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,
MLC 1786,Jan 29 700,Loan,,Object:Barley|City:Dilbat,lender,,N_dinu,1,NameType:Akk | Gender:Male,Son:2,
MLC 1786,Jan 29 701,Loan,,Object:Barley|City:Dilbat,father,,Am_l-Nan_ya,2,NameType:Akk | Gender:Male,Father:1,
MLC 1786,Jan 29 702,Loan,,Object:Barley|City:Dilbat,borrower,,Etelletu,3,NameType:Akk | Gender:Female,Wife:4,
MLC 1786,Jan 29 703,Loan,,Object:Barley|City:Dilbat,husband,,L_gam_l-__ir,4,NameType:Akk | Gender:Male,Husband:3,
MLC 1786,Jan 29 704,Loan,,Object:Barley|City:Dilbat,witness,,Ind__u,5,NameType:Akk | Gender:Male,Son:6,
MLC 1786,Jan 29 705,Loan,,Object:Barley|City:Dilbat,father,,B_l-useppi,6,NameType:Akk | Gender:Male,Father:5,
MLC 1786,Jan 29 706,Loan,,Object:Barley|City:Dilbat,scribe,,Pu__uru,7,NameType:Akk | Gender:Male,Son:8,
MLC 1786,Jan 29 707,Loan,,Object:Barley|City:Dilbat, father,,Nabž-l_'i,8,NameType:Akk | Gender:Male,Father:7,
BM 134970,Jan 25 675,Sale,,Object:Land | City:Dilbat,place name,,_a-p”-B_l,9,NameType:Akk | Gender:Male,Son:10,
BM 134970,Jan 25 676,Sale,,Object:Land | City:Dilbat,place name,, Iqbi-Ura_,10,NameType:Akk | Gender:Male,Father:9,
BM 134970,Jan 25 677,Sale,,Object:Land | City:Dilbat,neighbor,,Iqbi-[É],11,NameType:Akk | Gender:Male,Son:12,
BM 134970,Jan 25 678,Sale,,Object:Land | City:Dilbat, father,,Kidin-[É],12,NameType:Akk | Gender:Male,Father:11,
BM 134970,Jan 25 679,Sale,,Object:Land | City:Dilbat,neighbor,,L_gam_l-__ir,13,NameType:Akk | Gender:Male,Descendant:14,
BM 134970,Jan 25 680,Sale,,Object:Land | City:Dilbat,ancestor,,Dip_ru,14,NameType:Akk | Gender:Male,Ancestor:13,
BM 134970,Jan 25 681,Sale,,Object:Land | City:Dilbat,neighbor,,Nabž-a_a-iddin,15,NameType:Akk | Gender:Male,Son:16,
BM 134970,Jan 25 682,Sale,,Object:Land | City:Dilbat, father,,_a-p”-Ura_,16,NameType:Akk | Gender:Male,Father:15,
BM 134970,Jan 25 683,Sale,,Object:Land | City:Dilbat,neighbor,,_arr_ni,17,NameType:Akk | Gender:Male,,
