Text_ID,Date,Activity_attribute,Activity,Activity_attribute,Role,Person_name,Person_attribute,relation
MLC 1786,Jan 29 700,City:Dilbat,Loan,Object: barley,lender,N_dinu,NameType:Akk | Gender:Male,Son: 2
MLC 1786,Jan 29 701,City:Dilbat,Loan,Object: barley,father,Am_l-Nan_ya,NameType:Akk | Gender:Male,Father: 1
MLC 1786,Jan 29 702,City:Dilbat,Loan,Object: barley,borrower,Etelletu,NameType:Akk | Gender:Female,Wife: 4
MLC 1786,Jan 29 703,City:Dilbat,Loan,Object: barley,husband,L_gam_l-__ir,NameType:Akk | Gender:Male,Husband: 3
MLC 1786,Jan 29 704,City:Dilbat,Loan,Object: barley,witness,Ind__u,NameType:Akk | Gender:Male,Son: 6
MLC 1786,Jan 29 705,City:Dilbat,Loan,Object: barley,father,B_l-useppi,NameType:Akk | Gender:Male,Father: 5
MLC 1786,Jan 29 706,City:Dilbat,Loan,Object: barley,scribe,Pu__uru,NameType:Akk | Gender:Male,Son: 8
MLC 1786,Jan 29 707,City:Dilbat,Loan,Object: barley, father,Nabž-l_'i,NameType:Akk | Gender:Male,Father: 7
BM 134970,Jan 25 675,City:Dilbat,Sale,Object: land,place name,_a-p”-B_l,NameType:Akk | Gender:Male,Son: 10
BM 134970,Jan 25 676,City:Dilbat,Sale,Object: land,place name, Iqbi-Ura_,NameType:Akk | Gender:Male,Father: 9
BM 134970,Jan 25 677,City:Dilbat,Sale,Object: land,neighbor,Iqbi-[É],NameType:Akk | Gender:Male,Son: 12
BM 134970,Jan 25 678,City:Dilbat,Sale,Object: land, father,Kidin-[É],NameType:Akk | Gender:Male,Father: 11
BM 134970,Jan 25 679,City:Dilbat,Sale,Object: land,neighbor,L_gam_l-__ir,NameType:Akk | Gender:Male,Descendant: 14
BM 134970,Jan 25 680,City:Dilbat,Sale,Object: land,ancestor,Dip_ru,NameType:Akk | Gender:Male,Ancestor: 13
BM 134970,Jan 25 681,City:Dilbat,Sale,Object: land,neighbor,Nabž-a_a-iddin,NameType:Akk | Gender:Male,Son: 16
BM 134970,Jan 25 682,City:Dilbat,Sale,Object: land, father,_a-p”-Ura_,NameType:Akk | Gender:Male,Father: 15
BM 134970,Jan 25 683,City:Dilbat,Sale,Object: land,neighbor,_arr_ni,NameType:Akk | Gender:Male,
BM 134970,Jan 25 684,City:Dilbat,Sale,Object: land,buyer,_arr_ni,NameType:Akk | Gender:Male,Son: 19
BM 134970,Jan 25 685,City:Dilbat,Sale,Object: land,buyer,N_dinu,NameType:Akk | Gender:Male,Son: 18
BM 134970,Jan 25 686,City:Dilbat,Sale,Object: land, father,Am_l-Nan_ya,NameType:Akk | Gender:Male,Father: 18 | Father: 19
BM 134970,Jan 25 687,City:Dilbat,Sale,Object: land,seller,_a-p”-Nabž,NameType:Akk | Gender:Male,Descendant: 22
BM 134970,Jan 25 688,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,NameType:Akk | Gender:Male,Ancestor: 21
BM 134970,Jan 25 689,City:Dilbat,Sale,Object: land,witness,Ura_-udammiq,NameType:Akk | Gender:Male,Descendant: 24
BM 134970,Jan 25 690,City:Dilbat,Sale,Object: land,ancestor,Kidin-Ura_,NameType:Akk | Gender:Male,Ancestor: 23
BM 134970,Jan 25 691,City:Dilbat,Sale,Object: land,witness,B_l-a___-er_ba,NameType:Akk | Gender:Male,Descendant: 26
BM 134970,Jan 25 692,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,NameType:Akk | Gender:Male,Ancestor: 25
BM 134970,Jan 25 693,City:Dilbat,Sale,Object: land,witness,B_l-l_'i,NameType:Akk | Gender:Male,Descendant: 28
BM 134970,Jan 25 694,City:Dilbat,Sale,Object: land,witness,Ir‰nni,NameType:Akk | Gender:Male,Ancestor: 27
BM 134970,Jan 25 695,City:Dilbat,Sale,Object: land,witness,Er_ba,NameType:Akk | Gender:Male,Descendant: 30
BM 134970,Jan 25 696,City:Dilbat,Sale,Object: land,witness,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 29
