ID,Text_ID,Date,Activity_attribute,Activity,Activity_attribute,Role,Person_name,Person_attribute,relation,Writing
1,MLC 1786,Jan 29 700,City:Dilbat,Loan,Object: barley,lender,N_dinu,NameType:Akk | Gender:Male,Son: 2,"mna-di-ni, mna-din-ni"
2,MLC 1786,Jan 29 701,City:Dilbat,Loan,Object: barley,father,Am_l-Nan_ya,NameType:Akk | Gender:Male,Father: 1,mLÚ-dna-na-a
3,MLC 1786,Jan 29 702,City:Dilbat,Loan,Object: barley,borrower,Etelletu,NameType:Akk | Gender:Female,Wife: 4,fe-tel-le-ti
4,MLC 1786,Jan 29 703,City:Dilbat,Loan,Object: barley,husband,L_gam_l-__ir,NameType:Akk | Gender:Male,Husband: 3,mdla-ga-ma-al-KAR-ir
5,MLC 1786,Jan 29 704,City:Dilbat,Loan,Object: barley,witness,Ind__u,NameType:Akk | Gender:Male,Son: 6,min-de-e-_u
6,MLC 1786,Jan 29 705,City:Dilbat,Loan,Object: barley,father,B_l-useppi,NameType:Akk | Gender:Male,Father: 5,mdEN-ú-sep-pi
7,MLC 1786,Jan 29 706,City:Dilbat,Loan,Object: barley,scribe,Pu__uru,NameType:Akk | Gender:Male,Son: 8,mdpu-u_-_u-ru
8,MLC 1786,Jan 29 707,City:Dilbat,Loan,Object: barley, father,Nabû-l_'i,NameType:Akk | Gender:Male,Father: 7,mdAG-Á.GÁL
9,BM 134970,Jan 25 675,City:Dilbat,Sale,Object: land,place name,_a-pî-B_l,NameType:Akk | Gender:Male,Son: 10,m_á-pi-dEN
10,BM 134970,Jan 25 676,City:Dilbat,Sale,Object: land,place name, Iqbi-Ura_,NameType:Akk | Gender:Male,Father: 9,miq-bi-dURA_
11,BM 134970,Jan 25 677,City:Dilbat,Sale,Object: land,neighbor,Iqbi-[…],NameType:Akk | Gender:Male,Son: 12,
12,BM 134970,Jan 25 678,City:Dilbat,Sale,Object: land, father,Kidin-[…],NameType:Akk | Gender:Male,Father: 11,
13,BM 134970,Jan 25 679,City:Dilbat,Sale,Object: land,neighbor,L_gam_l-__ir,NameType:Akk | Gender:Male,Descendant: 14,
14,BM 134970,Jan 25 680,City:Dilbat,Sale,Object: land,ancestor,Dip_ru,NameType:Akk | Gender:Male,Ancestor: 13,
15,BM 134970,Jan 25 681,City:Dilbat,Sale,Object: land,neighbor,Nabû-a_a-iddin,NameType:Akk | Gender:Male,Son: 16,
16,BM 134970,Jan 25 682,City:Dilbat,Sale,Object: land, father,_a-pî-Ura_,NameType:Akk | Gender:Male,Father: 15,
17,BM 134970,Jan 25 683,City:Dilbat,Sale,Object: land,neighbor,_arr_ni,NameType:Akk | Gender:Male,,
18,BM 134970,Jan 25 684,City:Dilbat,Sale,Object: land,buyer,_arr_ni,NameType:Akk | Gender:Male,Son: 19,
19,BM 134970,Jan 25 685,City:Dilbat,Sale,Object: land,buyer,N_dinu,NameType:Akk | Gender:Male,Son: 18,
20,BM 134970,Jan 25 686,City:Dilbat,Sale,Object: land, father,Am_l-Nan_ya,NameType:Akk | Gender:Male,Father: 18 | Father: 19,
21,BM 134970,Jan 25 687,City:Dilbat,Sale,Object: land,seller,_a-pî-Nabû,NameType:Akk | Gender:Male,Descendant: 22,
22,BM 134970,Jan 25 688,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,NameType:Akk | Gender:Male,Ancestor: 21,
23,BM 134970,Jan 25 689,City:Dilbat,Sale,Object: land,witness,Ura_-udammiq,NameType:Akk | Gender:Male,Descendant: 24,
24,BM 134970,Jan 25 690,City:Dilbat,Sale,Object: land,ancestor,Kidin-Ura_,NameType:Akk | Gender:Male,Ancestor: 23,
25,BM 134970,Jan 25 691,City:Dilbat,Sale,Object: land,witness,B_l-a___-er_ba,NameType:Akk | Gender:Male,Descendant: 26,
26,BM 134970,Jan 25 692,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,NameType:Akk | Gender:Male,Ancestor: 25,
27,BM 134970,Jan 25 693,City:Dilbat,Sale,Object: land,witness,B_l-l_'i,NameType:Akk | Gender:Male,Descendant: 28,
28,BM 134970,Jan 25 694,City:Dilbat,Sale,Object: land,witness,Irânni,NameType:Akk | Gender:Male,Ancestor: 27,
29,BM 134970,Jan 25 695,City:Dilbat,Sale,Object: land,witness,Er_ba,NameType:Akk | Gender:Male,Descendant: 30,
30,BM 134970,Jan 25 696,City:Dilbat,Sale,Object: land,witness,_angû-Dilbat,NameType:Akk | Gender:Male,Ancestor: 29,
31,PTS 2318,Jan 2 659,City:Dilbat,Dedication,Object: child,buyer,Lâbâ_i,NameType:Akk | Gender:Male,Son: 32,
32,PTS 2318,Jan 2 660,City:Dilbat,Dedication,Object: child, father,N_dinu,NameType:Akk | Gender:Male,Father: 31,
33,PTS 2318,Jan 2 661,City:Dilbat,Dedication,Object: child,seller,_a-pî-ili,NameType:Akk | Gender:Male,Father: 36,
34,PTS 2318,Jan 2 662,City:Dilbat,Dedication,Object: child,seller,Bin_tu,NameType:Akk | Gender:Female,Mother: 36,
35,PTS 2318,Jan 2 663,City:Dilbat,Dedication,Object: child,seller,_a-_apirti,NameType:Akk | Gender:Female,Mother: 36,
36,PTS 2318,Jan 2 664,City:Dilbat,Dedication,Object: child,dedicant,Tardinnu,NameType:Akk | Gender:Male,Son: 33,
37,PTS 2318,Jan 2 665,City:Dilbat,Dedication,Object: child,witness,[…]-_pu_,NameType:Akk | Gender:Male,Descendant: 38,
38,PTS 2318,Jan 2 666,City:Dilbat,Dedication,Object: child,ancestor,Epp__-ili,NameType:Akk | Gender:Male,Ancestor: 37,
39,PTS 2318,Jan 2 667,City:Dilbat,Dedication,Object: child,witness,B_l-useppi,NameType:Akk | Gender:Male,Descendant: 40,
40,PTS 2318,Jan 2 668,City:Dilbat,Dedication,Object: child,ancestor,Tem_ya,NameType:Akk | Gender:Male,Ancestor: 39,
41,PTS 2318,Jan 2 669,City:Dilbat,Dedication,Object: child,witness,B_l-iddin,NameType:Akk | Gender:Male,Descendant: 42,
42,PTS 2318,Jan 2 670,City:Dilbat,Dedication,Object: child,ancestor,_angû-Dilbat,NameType:Akk | Gender:Male,Ancestor: 41,
43,PTS 2318,Jan 2 671,City:Dilbat,Dedication,Object: child,witness,A_a-er_ba,NameType:Akk | Gender:Male,Descendant: 43,
44,PTS 2318,Jan 2 672,City:Dilbat,Dedication,Object: child,ancestor,Kal_mu,NameType:Akk | Gender:Male,Ancestor: 44,
45,PTS 2318,Jan 2 673,City:Dilbat,Dedication,Object: child,witness,Nabû-z_ra-ibni,NameType:Akk | Gender:Male,Son: 46,
46,PTS 2318,Jan 2 674,City:Dilbat,Dedication,Object: child, father,Nabû-a_a-iddin,NameType:Akk | Gender:Male,Father: 45,
47,PTS 2318,Jan 2 675,City:Dilbat,Dedication,Object: child,witness,Kudurru,NameType:Akk | Gender:Male,Descendant: 48,
48,PTS 2318,Jan 2 676,City:Dilbat,Dedication,Object: child,ancestor,_angû-Dilbat,NameType:Akk | Gender:Male,Ancestor: 47,
49,PTS 2318,Jan 2 677,City:Dilbat,Dedication,Object: child,scribe,Nabû-a___-bulli_,NameType:Akk | Gender:Male,Descendant: 50,
50,PTS 2318,Jan 2 678,City:Dilbat,Dedication,Object: child,ancestor,Iddin-Papsukkal,NameType:Akk | Gender:Male,Ancestor: 49,
51,BM 46542,Dec 21 653,City:Dilbat,Sale,Object: land,place name,Iqbi-Ura_,NameType:Akk | Gender:Male,Son: 52,
52,BM 46542,Dec 21 654,City:Dilbat,Sale,Object: land,place name,Kidinnu,NameType:Akk | Gender:Male,Father: 51,
53,BM 46542,Dec 21 655,City:Dilbat,Sale,Object: land,neighbor,N__iru,NameType:Akk | Gender:Male,Son: 54,
54,BM 46542,Dec 21 656,City:Dilbat,Sale,Object: land, father,Nabû-a_a-_re_,NameType:Akk | Gender:Male,Father: 53,
