Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,person_sequence,Person_attribute,relation
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,lender,,N_dinu,1,NameType:Akk | Gender:Male,Son:2
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,father,,Am_l-Nan_ya,2,NameType:Akk | Gender:Male,Father:1
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,borrower,,Etelletu,3,NameType:Akk | Gender:Female,Wife:4
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,husband,,L_gam_l-__ir,4,NameType:Akk | Gender:Male,Husband:3
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,witness,,Ind__u,5,NameType:Akk | Gender:Male,Son:6
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,father,,B_l-useppi,6,NameType:Akk | Gender:Male,Father:5
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,scribe,,Pu__uru,7,NameType:Akk | Gender:Male,Son:8
MLC 1786,Jan 29 700,Loan,,City:Dilbat | Object: barley,father,,Nab_-l_'i,8,NameType:Akk | Gender:Male,Father:7
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,place name,,_a-pî-B_l,9,NameType:Akk | Gender:Male,Son:10
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,place name,, Iqbi-Ura_,10,NameType:Akk | Gender:Male,Father:9
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,neighbor,,Iqbi-[Ä],11,NameType:Akk | Gender:Male,Son:12
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land, father,,Kidin-[Ä],12,NameType:Akk | Gender:Male,Father:11
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,neighbor,,L_gam_l-__ir,13,NameType:Akk | Gender:Male,Descendant:14
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,ancestor,,Dip_ru,14,NameType:Akk | Gender:Male,Ancestor:13
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land,neighbor,,Nab_-a_a-iddin,15,NameType:Akk | Gender:Male,Son:16
BM 134970,Jan 25 675,Sale,,City:Dilbat | Object: land, father,,_a-pî-Ura_,16,NameType:Akk | Gender:Male,Father:15
