Text_ID,Date,Activity_attribute,Activity,Activity_attribute,Role,Person_name,ID,Person_attribute,relation,Writing
MLC 1786,Jan 29 700,City:Dilbat,Loan,Object: barley,lender,N_dinu,1,NameType:Akk | Gender:Male,Son: 2,"mna-di-ni, mna-din-ni"
MLC 1786,Jan 29 701,City:Dilbat,Loan,Object: barley,father,Am_l-Nan_ya,2,NameType:Akk | Gender:Male,Father: 1,mLÚ-dna-na-a
MLC 1786,Jan 29 702,City:Dilbat,Loan,Object: barley,borrower,Etelletu,3,NameType:Akk | Gender:Female,Wife: 4,fe-tel-le-ti
MLC 1786,Jan 29 703,City:Dilbat,Loan,Object: barley,husband,L_gam_l-__ir,4,NameType:Akk | Gender:Male,Husband: 3,mdla-ga-ma-al-KAR-ir
MLC 1786,Jan 29 704,City:Dilbat,Loan,Object: barley,witness,Ind__u,5,NameType:Akk | Gender:Male,Son: 6,min-de-e-_u
MLC 1786,Jan 29 705,City:Dilbat,Loan,Object: barley,father,B_l-useppi,6,NameType:Akk | Gender:Male,Father: 5,mdEN-ú-sep-pi
MLC 1786,Jan 29 706,City:Dilbat,Loan,Object: barley,scribe,Pu__uru,7,NameType:Akk | Gender:Male,Son: 8,mdpu-u_-_u-ru
MLC 1786,Jan 29 707,City:Dilbat,Loan,Object: barley, father,Nabû-l_'i,8,NameType:Akk | Gender:Male,Father: 7,mdAG-Á.GÁL
BM 134970,Jan 25 675,City:Dilbat,Sale,Object: land,place name,_a-pî-B_l,9,NameType:Akk | Gender:Male,Son: 10,m_á-pi-dEN
BM 134970,Jan 25 676,City:Dilbat,Sale,Object: land,place name, Iqbi-Ura_,10,NameType:Akk | Gender:Male,Father: 9,miq-bi-dURA_
BM 134970,Jan 25 677,City:Dilbat,Sale,Object: land,neighbor,Iqbi-[…],11,NameType:Akk | Gender:Male,Son: 12,
BM 134970,Jan 25 678,City:Dilbat,Sale,Object: land, father,Kidin-[…],12,NameType:Akk | Gender:Male,Father: 11,
BM 134970,Jan 25 679,City:Dilbat,Sale,Object: land,neighbor,L_gam_l-__ir,13,NameType:Akk | Gender:Male,Descendant: 14,
BM 134970,Jan 25 680,City:Dilbat,Sale,Object: land,ancestor,Dip_ru,14,NameType:Akk | Gender:Male,Ancestor: 13,
BM 134970,Jan 25 681,City:Dilbat,Sale,Object: land,neighbor,Nabû-a_a-iddin,15,NameType:Akk | Gender:Male,Son: 16,
BM 134970,Jan 25 682,City:Dilbat,Sale,Object: land, father,_a-pî-Ura_,16,NameType:Akk | Gender:Male,Father: 15,
BM 134970,Jan 25 683,City:Dilbat,Sale,Object: land,neighbor,_arr_ni,17,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 684,City:Dilbat,Sale,Object: land,buyer,_arr_ni,18,NameType:Akk | Gender:Male,Son: 19,
BM 134970,Jan 25 685,City:Dilbat,Sale,Object: land,buyer,N_dinu,19,NameType:Akk | Gender:Male,Son: 18,
BM 134970,Jan 25 686,City:Dilbat,Sale,Object: land, father,Am_l-Nan_ya,20,NameType:Akk | Gender:Male,Father: 18 | Father: 19,
BM 134970,Jan 25 687,City:Dilbat,Sale,Object: land,seller,_a-pî-Nabû,21,NameType:Akk | Gender:Male,Descendant: 22,
BM 134970,Jan 25 688,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,22,NameType:Akk | Gender:Male,Ancestor: 21,
